Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Common Hamilton](https://www.apartments.com/common-hamilton-new-york-ny/1e2c6d6/),631-721-1243,"[468 W 146th St, New York, NY 10031](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/468+W+146th+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)",,"$1,600 - 2,400",,,No Pets Allowed,,,,,"* Dishwasher
* Kitchen
* Microwave
* Oven
* Refrigerator",,"* Wi-Fi
* Washer/Dryer
* Heating
* Smoke Free","* Basement
* Furnished
* Large Bedrooms",,"* Community-Wide WiFi
* Planned Social Activities","* Built in 1910
* 11 Units
* Furnished",,* Garden,,
[275 W 144th St Unit 14](https://www.apartments.com/275-w-144th-st-new-york-ny-unit-14/y2yjgev/),,"[275 W 144th St, New York, NY 10030](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/275+W+144th+St,+New+York,+NY+10030/data=!4m2!4m1!3e2)",,"$1,750",,,,,,,,* Kitchen,,,* Hardwood Floors,12 Months,,,,,![Primary Photo - 275 W 144th St](https://images1.apartments.com/i2/ylNzJWvwB04TwtCWCRKAqOyEhBSTjoNfoa3KbBZuUuU/111/275-w-144th-st-unit-14-new-york-ny-primary-photo.jpg) ![Building Photo - 275 W 144th St](https://images1.apartments.com/i2/89fUboZu6UrTaLfTSaplBbBqE8o8f02DoTHIQnBVwWA/117/275-w-144th-st-unit-14-new-york-ny-building-photo.jpg) ![Building Photo - 275 W 144th St](https://images1.apartments.com/i2/w256iBzY45KMV5gkAWPwILSVeqs2dcSHMfOtGVvVsSQ/117/275-w-144th-st-unit-14-new-york-ny-building-photo.jpg) ![Building Photo - 275 W 144th St](https://images1.apartments.com/i2/CRQD5QY6FVqpGISq_asu5_U418blrzQ4I28wdDur95s/117/275-w-144th-st-unit-14-new-york-ny-building-photo.jpg) ![Building Photo - 275 W 144th St](https://images1.apartments.com/i2/oMzKP6HkvSQiQNz6NH9tlbp72YMeOcvOpxpRH3khnsg/117/275-w-144th-st-unit-14-new-york-ny-building-photo.jpg) ,
[26 E 105th St Unit 1bdr](https://www.apartments.com/26-e-105th-st-new-york-ny-unit-1bdr/hdc9q62/),,"[26 E 105th St, New York, NY 10029](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/26+E+105th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)",500 Sq Ft,"$1,650",,,Dogs and Cats Allowed,,,,,,,,,12 Months,"* Laundry Facilities
* Gated Entry",,,,![Primary Photo - 26 E 105th St](https://images1.apartments.com/i2/BY3-RQ8D-ymFY8x1-8dYSAKqqPt-tDcIJm16bNLiFS4/111/26-e-105th-st-unit-1bdr-new-york-ny-primary-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/eGjp8bXbkiZ6j0mXmCs9Yr7RgIjqQqz8p45EcGldlQs/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/5_cQB4ZxlsSPG-tF1QVYWDLYasSO9x8GsvgLskJ0v54/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/mc7aqg3VKIiHoTYCLQ7CT8pDN327rEqtzZ-FyrTpoa4/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/voEQ4B5uD1bhi1mPLD0rrJUSwQr9zZ2xPjhvI62BoyQ/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/4TwRmwqh-goFuH_D2WvgRFRfrXtCUYzBCBcJZgsdhlk/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/2zZwJXBVO32TRr9dGol1SHxuor0XDEpSETubpc3-hM8/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/tHEpImTPbJCVlB38xL04Q7K7N01q-pNwXlSmdt3b0qw/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/-trMmQBNoX4E_quVaba2FYuLMwCMDpX9lRGpub_gSqE/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/KVtbZWNEUdJcTgJ2s-DQ9vY1g1RBmjCB-3Xkt3RrY98/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ![Building Photo - 26 E 105th St](https://images1.apartments.com/i2/4G_CZHBL3MT4njOoNA_431pQA7W03-TGXLnC-0FeCQ4/117/26-e-105th-st-unit-1bdr-new-york-ny-building-photo.jpg) ,
[90 Park Terrace E Unit 4H](https://www.apartments.com/90-park-terrace-e-new-york-ny-unit-4h/e7etq3p/),,"[90 Park Terrace E, New York, NY 10034](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/90+Park+Terrace+E,+New+York,+NY+10034/data=!4m2!4m1!3e2)",,"$1,250",,,,,,Street,,* Kitchen,,* Smoke Free,"* Dining Room
* Basement",12 Months,* Laundry Facilities,,* Elevator,,![Living Area - 90 Park Terrace E](https://images1.apartments.com/i2/Zxgo9Sn5uXEiYXWkDXdocQr4wcf1Dx7U-zqGdnF5q6s/111/90-park-terrace-e-unit-4h-new-york-ny-living-area.jpg) ![Living Area - 90 Park Terrace E](https://images1.apartments.com/i2/O3zVxD2XQFf-Y_RmPBJX07a8eKfEAkhe0cJoxWcHwtQ/117/90-park-terrace-e-unit-4h-new-york-ny-living-area.jpg) ![Kitchen and Dining Area - 90 Park Terrace E](https://images1.apartments.com/i2/6vKHK-uguTwsKlp0FLfst_WumvUgnZdbjXDnjEbTw24/117/90-park-terrace-e-unit-4h-new-york-ny-kitchen-and-dining-area.jpg) ![Kitchen - 90 Park Terrace E](https://images1.apartments.com/i2/6RUQIFuQ6N7ojKFj_GA6o-_jVbxBpmyCp8pZDpgdTN8/117/90-park-terrace-e-unit-4h-new-york-ny-kitchen.jpg) ![Bathroom - 90 Park Terrace E](https://images1.apartments.com/i2/TOpvJ0mb2X8BI4gBqyj3xMmRwAotF56-fp2jC9DsqAc/117/90-park-terrace-e-unit-4h-new-york-ny-bathroom.jpg) ![Front of Building - 90 Park Terrace E](https://images1.apartments.com/i2/czA8Ffchk2FgMWqIa1svuVSz-aXq6IsZxYS90qIQBq8/117/90-park-terrace-e-unit-4h-new-york-ny-front-of-building.jpg) ,
[508 W 167th St Unit OR6A](https://www.apartments.com/508-w-167th-st-new-york-ny-unit-or6a/m7phvxl/),844-275-3954,"[508 W 167th St, New York, NY 10032](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/508+W+167th+St,+New+York,+NY+10032/data=!4m2!4m1!3e2)",440 Sq Ft,"$1,700",,,,,,Street,,,,,,12 Month,* Laundry Facilities,,,,![Primary Photo - 508 W 167th St](https://images1.apartments.com/i2/f46IqfZdSPpmMcugAbXQpovXnBFvQSN31t06rIJaVPo/111/508-w-167th-st-unit-or6a-new-york-ny-primary-photo.jpg) ![Building Photo - 508 W 167th St](https://images1.apartments.com/i2/Lkt-i3JzO86ksMH4fL2q9gjwVBFPDMBReuGvf8poUbs/117/508-w-167th-st-unit-or6a-new-york-ny-building-photo.jpg) ![Building Photo - 508 W 167th St](https://images1.apartments.com/i2/R4vcVG-VV3iPKWptB30XSMF6FxmtKQHyVzDRPlwwo_Y/117/508-w-167th-st-unit-or6a-new-york-ny-building-photo.jpg) ![Building Photo - 508 W 167th St](https://images1.apartments.com/i2/J8FxQ1xIV_14_kJ8y8PsIWHaZccEqVmeb2qvr-BiBqI/117/508-w-167th-st-unit-or6a-new-york-ny-building-photo.jpg) ![Building Photo - 508 W 167th St](https://images1.apartments.com/i2/UvJ_RpUdekt_1e5zbHa572La4Q_UlkTL8jYIr0Dy__Y/117/508-w-167th-st-unit-or6a-new-york-ny-building-photo.jpg) ,
[45 Sickles St Unit 4O](https://www.apartments.com/45-sickles-st-new-york-ny-unit-4o/9szmvl4/),844-823-8697,"[45 Sickles St, New York, NY 10040](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/45+Sickles+St,+New+York,+NY+10040/data=!4m2!4m1!3e2)",,"$1,725",,,Dogs and Cats Allowed,,,Street,,,,,,12 Months,,,,,![Primary Photo - 45 Sickles St](https://images1.apartments.com/i2/MbAEWQK9kvEZAqdeJaQVKcSi5K3WCmELbRwo9lbUAEk/111/45-sickles-st-unit-4o-new-york-ny-primary-photo.jpg) ![Building Photo - 45 Sickles St](https://images1.apartments.com/i2/TMuaBqij4tpoPik42jWMfNa3tjNTeMN7oOjBzpW6F6w/117/45-sickles-st-unit-4o-new-york-ny-building-photo.jpg) ,
[30 Sickles St Unit 3D](https://www.apartments.com/30-sickles-st-new-york-ny-unit-3d/n6dydbp/),844-827-7164,"[30 Sickles St, New York, NY 10040](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/30+Sickles+St,+New+York,+NY+10040/data=!4m2!4m1!3e2)",650 Sq Ft,"$1,600",,,Dogs and Cats Allowed,,,Street,,,,,,12 Months,,,,,![Primary Photo - 30 Sickles St](https://images1.apartments.com/i2/-M0MFEgbeYqdZ2lWDbL4DOan3z0-Ef7SLzi0t9Xoo3s/111/30-sickles-st-unit-3d-new-york-ny-primary-photo.jpg) ![Building Photo - 30 Sickles St](https://images1.apartments.com/i2/562vP-bldJ_nEm_jftnOYIsPz5rkuvJ1EiF-86br-NM/117/30-sickles-st-unit-3d-new-york-ny-building-photo.jpg) ,
[462 E 115th St Unit 5D](https://www.apartments.com/462-e-115th-st-new-york-ny-unit-5d/w5g3t9h/),646-677-4463,"[462 E 115th St, New York, NY 10029](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/462+E+115th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)",,"$1,495",,,,,,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 462 E 115th St](https://images1.apartments.com/i2/rCGNNuNyGVT968fxyaNKeUbVENKaL6WwezpiviHB1V8/111/462-e-115th-st-unit-5d-new-york-ny-primary-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/a18xeCoP57wAm23hxbTtVb2kY2pT_gxgbaCmZ4NsJmw/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/ZpTjaWO7z17Rw17WFx-knStyBPUETVqe_K7Yo0jl4YM/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/6M4ubwgYTlKiBZ_Tn5G7LdZOiaXc8c3FAq_WBxiLFDM/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/zh1jdKR2JYcoQQZaavyED2RuK9eZKdhHHkjYwFiovN4/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/60vKvEDFffFlO9BaUA6i1U5lMtUIE7a1SRum2PGHS6Q/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/WR7FIVPh8q4snbCX5VV662vdQIMipnA_usxRc8Gy09s/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ![Building Photo - 462 E 115th St](https://images1.apartments.com/i2/Jvq4jd7w0NFtpe37Ijf95eqAD5TSWJE5TCwMA9QGZLQ/117/462-e-115th-st-unit-5d-new-york-ny-building-photo.jpg) ,
[85-50 Forest Pkwy Unit D](https://www.apartments.com/85-50-forest-pkwy-new-york-ny-unit-d/91p69l7/),929-484-4512,"[85-50 Forest Pkwy, New York, NY 11421](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/85-50+Forest+Pkwy,+New+York,+NY+11421/data=!4m2!4m1!3e2)",630 Sq Ft,"$1,725",,,Dogs and Cats Allowed,,,,,,,,* Hardwood Floors,12 Months,* Laundry Facilities,,* Elevator,,![Primary Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/Ai8GAFGoogm75NjkriVRK_r45O_gQKtFrSGgnONBaJ8/111/85-50-forest-pkwy-unit-d-new-york-ny-primary-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/8j_XxGzK5lO4OoT-O8cOOIVruroEJG4V5lfE98nEF0g/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/csqNw8jn0CooqKJj69SHxhCH7rtT8Ex1PlI_BzC3Kyc/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/fW_z2fgUHyhSXXetYTGzAnnJQD9t6nocLCAm1-A9yGY/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/fCmNYC-bcYSNGDlfSgvKitxnXkZ7Vmg-4Gd3G8I5tFw/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/Pz7DYXbJ9sH-fDRdYKw3fHYq47dmaIOo2Z2544nBU34/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/gOm5_kUEL7qPjgKpiSdbLaxIeewhEu0vBPC8LGINhKc/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ![Building Photo - 85-50 Forest Pkwy](https://images1.apartments.com/i2/hHhWNMSwjqjKpr6eh-Ajb1-926CYtBD_VVijaxk98r4/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg) ,
[2117 5th Ave](https://www.apartments.com/2117-5th-ave-new-york-ny/582g7vq/),917-781-4155,"[2117 5th Ave, New York, NY 10035](https://www.google.com/maps/dir/350+5th+Ave+New+York,+NY+10118/2117+5th+Ave,+New+York,+NY+10035/data=!4m2!4m1!3e2)",500 Sq Ft,"$1,695",,,Cats Allowed,,,,,"* Kitchen
* Instant Hot Water",,,* Hardwood Floors,12 Months,,,,,![Primary Photo - 2117 5th Ave](https://images1.apartments.com/i2/ouuZGfmzxqTcF0acs7Mw_2WPOzjGfi9y0EHvyo0JPoU/111/2117-5th-ave-new-york-ny-primary-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/L_2doZeOa-Xnr1EKzgLhL216XfSofO-qlsVv-DNCLLg/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/yLzfFIju5-gYoG7uh2eFm5k3QF5Obewilxt6JZ_dnJo/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/-a9Z786JOR9tP22NMi0Osr_T8lXPHgmvkG4dSj9gkDI/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/HaWNu6oxz3RFL5SZ3qI3Yi55EKwuE1mdpwbxkUZKIJs/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/64w0EnUBOkmx4tOXfp9DGoZRLiRJYntcOthkzpPfOl8/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/JBxmUTiCR4wGnycR3Xp5kZxe5MeZR4oLKDyeDncpBtA/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/zBWXcdM5mOdS6Nly9rjDShlGDJ_ws0Lg30U6lec-7g0/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/rfVug3VzvfPp1Y9RrCQbq0Cl2Lwh4YHfUmSumfemqec/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/DBmMbWTt3NXQKHE0wKIOzXOtZ9g9upxm0dVEZpKkVYo/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/t1bo4xkVWSk-771A0Oin_XVwx01ndsX0YGtBEj_padA/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/Tr3bpXWyeJuLMPR_COX1Wg-CygXNstfdMR5RAH4XZ1w/117/2117-5th-ave-new-york-ny-building-photo.jpg) ![Building Photo - 2117 5th Ave](https://images1.apartments.com/i2/5akIkRVOjb8oQm3RPu9GVveCriKoS_FMd7hSrteyVEA/117/2117-5th-ave-new-york-ny-building-photo.jpg) ,
